ticker,queryCount,resultsCount,adjusted,results,status,request_id,count
AAPL,253,253,True,"{'v': 62449116.0, 'vw': 174.8619, 'o': 174.55, 'c': 173.93, 'h': 176.3, 'l': 173.86, 't': 1695268800000, 'n': 631478}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 56688985.0, 'vw': 175.4667, 'o': 174.67, 'c': 174.79, 'h': 177.079, 'l': 174.05, 't': 1695355200000, 'n': 606168}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 46172740.0, 'vw': 175.6665, 'o': 174.2, 'c': 176.08, 'h': 176.97, 'l': 174.15, 't': 1695614400000, 'n': 564218}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 64548945.0, 'vw': 172.7156, 'o': 174.82, 'c': 171.96, 'h': 175.2, 'l': 171.66, 't': 1695700800000, 'n': 688340}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 66920708.0, 'vw': 170.5335, 'o': 172.62, 'c': 170.43, 'h': 173.04, 'l': 169.05, 't': 1695787200000, 'n': 707850}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 56294419.0, 'vw': 170.297, 'o': 169.34, 'c': 170.69, 'h': 172.03, 'l': 167.62, 't': 1695873600000, 'n': 618584}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 51861083.0, 'vw': 171.5997, 'o': 172.02, 'c': 171.21, 'h': 173.07, 'l': 170.341, 't': 1695960000000, 'n': 535134}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 52156935.0, 'vw': 173.2879, 'o': 171.22, 'c': 173.75, 'h': 174.3, 'l': 170.93, 't': 1696219200000, 'n': 617249}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 49594613.0, 'vw': 172.1342, 'o': 172.255, 'c': 172.4, 'h': 173.63, 'l': 170.82, 't': 1696305600000, 'n': 542569}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 53006286.0, 'vw': 172.9437, 'o': 171.09, 'c': 173.66, 'h': 174.21, 'l': 170.97, 't': 1696392000000, 'n': 560975}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 48527918.0, 'vw': 174.2297, 'o': 173.79, 'c': 174.91, 'h': 175.45, 'l': 172.68, 't': 1696478400000, 'n': 509175}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 57266675.0, 'vw': 176.3366, 'o': 173.8, 'c': 177.49, 'h': 177.99, 'l': 173.18, 't': 1696564800000, 'n': 593944}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 42344772.0, 'vw': 177.8683, 'o': 176.81, 'c': 178.99, 'h': 179.05, 'l': 175.8, 't': 1696824000000, 'n': 518256}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 43698019.0, 'vw': 178.6901, 'o': 178.1, 'c': 178.39, 'h': 179.72, 'l': 177.95, 't': 1696910400000, 'n': 524939}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 47544848.0, 'vw': 178.9503, 'o': 178.2, 'c': 179.8, 'h': 179.85, 'l': 177.6, 't': 1696996800000, 'n': 503477}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 56743119.0, 'vw': 180.9482, 'o': 180.07, 'c': 180.71, 'h': 182.34, 'l': 179.04, 't': 1697083200000, 'n': 616891}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 51412082.0, 'vw': 179.4154, 'o': 181.42, 'c': 178.85, 'h': 181.93, 'l': 178.14, 't': 1697169600000, 'n': 531441}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 52516984.0, 'vw': 178.1478, 'o': 176.75, 'c': 178.72, 'h': 179.075, 'l': 176.51, 't': 1697428800000, 'n': 632605}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 57549350.0, 'vw': 176.8623, 'o': 176.645, 'c': 177.15, 'h': 178.42, 'l': 174.8, 't': 1697515200000, 'n': 592323}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 54764375.0, 'vw': 176.3501, 'o': 175.58, 'c': 175.84, 'h': 177.575, 'l': 175.11, 't': 1697601600000, 'n': 540187}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 59192863.0, 'vw': 176.215, 'o': 176.04, 'c': 175.46, 'h': 177.84, 'l': 175.19, 't': 1697688000000, 'n': 560260}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 64211828.0, 'vw': 173.7459, 'o': 175.31, 'c': 172.88, 'h': 175.42, 'l': 172.64, 't': 1697774400000, 'n': 600318}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 55980109.0, 'vw': 172.3829, 'o': 170.91, 'c': 173, 'h': 174.01, 'l': 169.93, 't': 1698033600000, 'n': 639616}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 43816644.0, 'vw': 172.7333, 'o': 173.05, 'c': 173.44, 'h': 173.67, 'l': 171.45, 't': 1698120000000, 'n': 530406}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 57156962.0, 'vw': 171.4932, 'o': 171.88, 'c': 171.1, 'h': 173.06, 'l': 170.65, 't': 1698206400000, 'n': 610143}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 70625258.0, 'vw': 167.5944, 'o': 170.37, 'c': 166.89, 'h': 171.3775, 'l': 165.67, 't': 1698292800000, 'n': 815217}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 58257129.0, 'vw': 167.9072, 'o': 166.91, 'c': 168.22, 'h': 168.96, 'l': 166.83, 't': 1698379200000, 'n': 609511}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 51239218.0, 'vw': 170.0788, 'o': 169.02, 'c': 170.29, 'h': 171.17, 'l': 168.87, 't': 1698638400000, 'n': 628258}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 44846017.0, 'vw': 169.9252, 'o': 169.35, 'c': 170.77, 'h': 170.9, 'l': 167.9, 't': 1698724800000, 'n': 509879}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 56934906.0, 'vw': 172.6187, 'o': 171, 'c': 173.97, 'h': 174.23, 'l': 170.12, 't': 1698811200000, 'n': 633476}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 77292052.0, 'vw': 176.6794, 'o': 175.52, 'c': 177.57, 'h': 177.78, 'l': 175.46, 't': 1698897600000, 'n': 805046}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 79829246.0, 'vw': 175.5751, 'o': 174.24, 'c': 176.65, 'h': 176.82, 'l': 173.35, 't': 1698984000000, 'n': 858038}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 63841310.0, 'vw': 178.5589, 'o': 176.38, 'c': 179.23, 'h': 179.43, 'l': 176.21, 't': 1699246800000, 'n': 678103}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 70529966.0, 'vw': 181.2627, 'o': 179.18, 'c': 181.82, 'h': 182.44, 'l': 178.97, 't': 1699333200000, 'n': 653779}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 49340282.0, 'vw': 182.6566, 'o': 182.35, 'c': 182.89, 'h': 183.45, 'l': 181.59, 't': 1699419600000, 'n': 542421}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 53631840.0, 'vw': 182.912, 'o': 182.96, 'c': 182.41, 'h': 184.12, 'l': 181.81, 't': 1699506000000, 'n': 545657}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 66177922.0, 'vw': 185.4104, 'o': 183.97, 'c': 186.4, 'h': 186.565, 'l': 183.53, 't': 1699592400000, 'n': 610938}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 43627519.0, 'vw': 184.8317, 'o': 185.82, 'c': 184.8, 'h': 186.03, 'l': 184.21, 't': 1699851600000, 'n': 530407}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 60108378.0, 'vw': 187.2038, 'o': 187.7, 'c': 187.44, 'h': 188.11, 'l': 186.3, 't': 1699938000000, 'n': 609218}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
AAPL,253,253,True,"{'v': 53608999.0, 'vw': 188.4191, 'o': 187.845, 'c': 188.01, 'h': 189.5, 'l': 187.78, 't': 1700024400000, 'n': 564159}",OK,b0ba10e4530ccb8a251fff6f1fc507f3,253
